349.99963,223.698
350.53727,232.379
351.0749,239.524
351.61254,224.573
352.15017,231.667
352.6878,229.043
353.22544,239.28
353.76307,225.319
354.30071,232.384
354.83834,235.847
355.37597,229.218
355.91361,236.226
356.45124,235.663
356.98888,232.482
357.52651,237.232
358.06414,225.032
358.60178,231.648
359.13941,226.025
359.67705,230.451
360.21468,236.276
360.75231,241.934
361.28995,235.721
361.82758,239.388
362.36522,248.74
362.90285,242.918
363.44048,262.703
363.97812,240.78
364.51575,245.913
365.05339,243.264
365.59102,252.147
366.12865,248.97
366.66629,244.508
367.20392,235.39
367.74156,257.112
368.27919,241.982
368.81682,242.454
369.35446,232.094
369.89209,241.811
370.42973,250.005
370.96736,244.812
371.50499,256.819
372.04263,240.73
372.58026,246.23
373.1179,243.004
373.65553,243.196
374.19316,242.86
374.7308,252.488
375.26843,238.25
375.80607,240.473
376.3437,229.841
376.88133,234.729
377.41897,231.407
377.9566,245.065
378.49424,257.084
379.03187,249.571
379.5695,239.595
380.10714,258.383
380.64477,248.57
381.18241,254.323
381.72004,256.488
382.25767,249.758
382.79531,251.61
383.33294,249.15
383.87058,259.214
384.40821,252.104
384.94584,232.598
385.48348,246.639
386.02111,249.563
386.55875,259.016
387.09638,249.578
387.63401,246.126
388.17165,254.009
388.70928,248.527
389.24692,240.956
389.78455,241
390.32218,255.622
390.85982,253.123
391.39745,255.704
391.93509,260.588
392.47272,249.549
393.01035,256.283
393.54799,245.812
394.08562,250.679
394.62326,257.36
395.16089,251.077
395.69852,258.235
396.23616,259.968
396.77379,257.276
397.31143,261.256
397.84906,259.563
398.38669,255.492
398.92433,256.919
399.46196,262.645
399.9996,268.347
400.53723,273.773
401.07486,278.735
401.6125,264.427
402.15013,283.578
402.68777,266.121
403.2254,284.014
403.76303,282.5
404.30067,299.938
404.8383,286.001
405.37594,286.418
405.91357,300.24
406.4512,308.257
406.98884,317.115
407.52647,325.079
408.06411,332.579
408.60174,342.136
409.13937,342.109
409.67701,379.897
410.21464,374.322
410.75228,395.913
411.28991,426.527
411.82754,420.07
412.36518,493.467
412.90281,545.681
413.44045,538.811
413.97808,539.708
414.51571,640.591
415.05335,631.076
415.59098,649.213
416.12862,705.557
416.66625,706.266
417.20388,757.029
417.74152,769.149
418.27915,753.809
418.81679,784.154
419.35442,803.109
419.89205,789.859
420.42969,798.249
420.96732,826.728
421.50496,846.86
422.04259,835.911
422.58022,908.464
423.11786,905.892
423.65549,920.983
424.19313,989.238
424.73076,957.086
425.26839,1049.31
425.80603,988.256
426.34366,1123.42
426.8813,1109.43
427.41893,1150.38
427.95656,1160.42
428.4942,1182.54
429.03183,1164.73
429.56947,1326.25
430.1071,1226.22
430.64473,1359.72
431.18237,1322.48
431.72,1360.19
432.25764,1465.54
432.79527,1489.65
433.3329,1566.83
433.87054,1574.47
434.40817,1610.09
434.94581,1728.55
435.48344,1724.14
436.02107,1842.46
436.55871,1954.64
437.09634,2030.81
437.63398,2104.35
438.17161,2213.4
438.70924,2351.96
439.24688,2387.34
439.78451,2482.5
440.32215,2593.73
440.85978,2533.26
441.39741,2634.99
441.93505,2817.22
442.47268,2909.02
443.01032,2985.5
443.54795,2917.8
444.08558,2934.32
444.62322,2894.41
445.16085,2984.43
445.69849,2958.71
446.23612,3117.53
446.77375,3294.1
447.31139,3327.45
447.84902,3762.36
448.38666,3810.19
448.92429,4039.58
449.46192,4205.72
449.99956,4291.16
450.53719,4431.14
451.07483,4815.77
451.61246,4861.07
452.15009,5074.2
452.68773,5311.91
453.22536,5546.64
453.763,5699.79
454.30063,5921.22
454.83826,6143.56
455.3759,6560.49
455.91353,6511.37
456.45117,6948.62
456.9888,7252.31
457.52643,7287.75
458.06407,7801.62
458.6017,7896.57
459.13934,8246.86
459.67697,8410.15
460.2146,8792.57
460.75224,9197.7
461.28987,9436.63
461.82751,10155.2
462.36514,9847.78
462.90277,10351.8
463.44041,10791.4
463.97804,10949
464.51568,11043.2
465.05331,11590.4
465.59094,12136.3
466.12858,12700.7
466.66621,12909
467.20385,13522.4
467.74148,13956
468.27911,14483.4
468.81675,14216.8
469.35438,14654
469.89202,14963.6
470.42965,16054.2
470.96728,16323
471.50492,16837
472.04255,17080.1
472.58019,17643.2
473.11782,18280.7
473.65545,19013.1
474.19309,19991.8
474.73072,20474.8
475.26836,20168.4
475.80599,21116.4
476.34362,21787.7
476.88126,22846.3
477.41889,23364.9
477.95653,24109
478.49416,24625.3
479.03179,24636.6
479.56943,25646.2
480.10706,26154.8
480.6447,27312.8
481.18233,27214
481.71996,28041.6
482.2576,28424.8
482.79523,29665.3
483.33287,29909.6
483.8705,29965.2
484.40813,31463.9
484.94577,31605.9
485.4834,32157.9
486.02104,32534.9
486.55867,33434.6
487.0963,33727.7
487.63394,32921.9
488.17157,35148.7
488.70921,35745.8
489.24684,36761.4
489.78447,37616.9
490.32211,38110.8
490.85974,39143.7
491.39738,38874.1
491.93501,39215.6
492.47264,41075.8
493.01028,40174.9
493.54791,41441.2
494.08555,41529.1
494.62318,42652.2
495.16081,44458.1
495.69845,43833.7
496.23608,44236.7
496.77372,43448
497.31135,45263.2
497.84898,45005.7
498.38662,44721.8
498.92425,45704.2
499.46189,46947.3
499.99952,47812.4
500.53715,48219.4
501.07479,48055.1
501.61242,48162.4
502.15006,49546.9
502.68769,48578.1
503.22532,49823.8
503.76296,48990.5
504.30059,51516
504.83823,50254.8
505.37586,51403.2
505.91349,51677.7
506.45113,51532.8
506.98876,53624.1
507.5264,54414.9
508.06403,55161.5
508.60166,54738.6
